Title,Abstract
Treatment for COVID-19: An overview.,"Coronavirus disease 2019 (COVID-19) is an infectious disease caused by coronavirus-2 (SARS-CoV-2) that causes a severe acute respiratory syndrome, a characteristic hyperinflammatory response, vascular damage, microangiopathy, angiogenesis and widespread thrombosis. Four stages of COVID-19 have been identified: the first stage is characterised by upper respiratory tract infection; the second by the onset of dyspnoea and pneumonia; the third by a worsening clinical scenario dominated by a cytokine storm and the consequent hyperinflammatory state; and the fourth by death or recovery. Currently, no treatment can act specifically against the SARS-CoV-2 infection. Based on the pathological features and different clinical phases of COVID-19, particularly in patients with moderate to severe COVID-19, the classes of drugs used are antiviral agents, inflammation inhibitors/antirheumatic drugs, low molecular weight heparins, plasma, and hyperimmune immunoglobulins. During this emergency period of the COVID-19 outbreak, clinical researchers are using and testing a variety of possible treatments. Based on these premises, this review aims to discuss the most updated pharmacological treatments to effectively act against the SARS-CoV-2 infection and support researchers and clinicians in relation to any current and future developments in curing COVID-19 patients."
"An update on COVID-19 pandemic: the epidemiology, pathogenesis, prevention and treatment strategies.","INTRODUCTION: To date, the transmission of Coronavirus Disease-2019 (COVID-19) is still uncontrollable with the fact that the numbers of confirmed and death cases are still increasing. Up to 1st October 2020, 33,842,281 confirmed cases and 1,010,634 confirmed deaths have been reported to the World Health Organization from 216 different countries, areas and territories. Despite the urgent demand for effective treatment strategies, there is still no specific antiviral treatment for COVID-19 and the treatment guidelines for COVID-19 vary between countries. AREA COVERED: In this article, we summarized the current knowledge on COVID-19 and the pandemic worldwide. Moreover, the epidemiology, pathogenesis, prevention and different treatment options will be discussed so that we shall prepare ourselves better to fight with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). EXPERT OPINION: The situation of the COVID-19 pandemic is still unpredictable. There is no effective vaccine or specific anti-viral drug to treat serve COVID-19 patients. Combination therapies have shown promising clinical improvement. Repurposing FDA-approved drugs might be one of possible treatment options. Without specific treatment and vaccines for COVID-19, the most effective way to prevent from being infected is to generate an ecosystem with effective protection, precautions and preventive measures."
Natural products for COVID-19 prevention and treatment regarding to previous coronavirus infections and novel studies.,"Recently, the novel life-threatening coronavirus infection (COVID-19) was reported at the end of 2019 in Wuhan, China, and spread throughout the world in little time. The effective antiviral activities of natural products have been proved in different studies. In this review, regarding the effective herbal treatments on other coronavirus infections, promising natural products for COVID-19 treatment are suggested. An extensive search in Google Scholar, Science Direct, PubMed, ISI, and Scopus was done with search words include coronavirus, COVID-19, SARS, MERS, natural product, herb, plant, and extract. The consumption of herbal medicine such as Allium sativum, Camellia sinensis, Zingiber officinale, Nigella sativa, Echinacea spp. Hypericum perforatum, and Glycyrrhiza glabra, Scutellaria baicalensis can improve the immune response. It seems that different types of terpenoids have promising effects in viral replication inhibition and could be introduced for future studies. Additionally, some alkaloid structures such as homoharringtonine, lycorine, and emetine have strong anti-coronavirus effects. Natural products can inhibit different coronavirus targets such as S protein (emodin, baicalin) and viral enzymes replication such as 3CL(pro) (Iguesterin), PL(pro) (Cryptotanshinone), helicase (Silvestrol), and RdRp (Sotetsuflavone). Based on previous studies, natural products can be introduced as preventive and therapeutic agents in the fight against coronavirus."
COVID-19 and dermatology,"Background/aim: Sars-CoV-2 virus infection (COVID-19) was observed in China in the last months of 2019. In the period following, this infection spread all over the world. In March 2020 the World Health Organization announced the existence of a pandemic. The aim of this manuscript is to investigate skin diseases associated with COVID-19 under three main headings: skin problems related to personal protective equipment and personal hygiene measures, skin findings observed in SARS-CoV-2 virus infections, and skin findings due to COVID-19 treatment agents. Materials and methods: In PubMed, Google Scholar databases, skin lesions related to personal protective equipment and personal hygiene measures, skin findings observed in SARS-CoV-2 virus infections and skin findings due to COVID-19 treatment agents subjects are searched in detail. Results: Pressure injury, contact dermatitis, itching, pressure urticaria, exacerbation of preexisting skin diseases, and new skin lesion occurrence/new skin disease occurrence may be due to personal protective equipment. Skin problems related to personal hygiene measures could include itching, dryness, and contact dermatitis. Skin findings may also be observed in SARS-CoV-2 virus infections. The incidence of skin lesions due to COVID-19 was reported to be between 0.2% and 29%. Many skin lesions including maculopapular, urticarial, vesicular, chilblain-like, thrombotic/ischemic, etc. are observed in COVID-19 patients. Some authors have stated that there is an absence of SARS-CoV-2 virus infection-specific skin findings. However, in asymptomatic or presymptomatic COVID-19 patients in particular, skin lesions can lead to the diagnosis of COVID-19. In addition, skin lesions may occur due to COVID-19 treatment agents. Conclusion: Many skin lesions may appear as a result of COVID-19. Even in the absence of a COVID-19 diagnosis, skin findings should be evaluated carefully in this pandemic period."
COVID-19 treatment options: a difficult journey between failed attempts and experimental drugs.,"Since its outbreak in China in December 2019 a novel Coronavirus, named SARS-CoV-2, has spread worldwide causing many cases of severe pneumonia, referred to as COVID-19 disease, leading the World Health Organization to declare a pandemic emergency in March 2020. Up to now, no specific therapy against COVID-19 disease exists. This paper aims to review COVID-19 treatment options currently under investigation. We divided the studied drugs into three categories (antiviral, immunomodulatory and other drugs). For each molecule, we discussed the putative mechanisms by which the drug may act against SARS-CoV-2 or may affect COVID-19 pathogenesis and the main clinical studies performed so far. The published clinical studies suffer from methodological limitations due to the emergency setting in which they have been conducted. Nevertheless, it seems that the timing of administration of the diverse categories of drugs is crucial in determining clinical efficacy. Antiviral drugs, in particular Remdesivir, should be administered soon after symptoms onset, in the viraemic phase of the disease; whereas, immunomodulatory agents, such as tocilizumab, anakinra and steroids, may have better results if administered in pneumonia/hyperinflammatory phases. Low-molecular-weight heparin may also have a role when facing COVID-19-related coagulopathy. Up to now, treatment choices have been inferred from the experience with other coronaviruses or viral infection outbreaks. Hopefully, in the near future, new treatment strategies will be available thanks to increased knowledge on SARS-CoV2 virus and COVID-19 pathogenesis. In the meanwhile, further well-designed clinical trials are urgently needed to establish a standard of care in COVID-19 disease."
The Role of Hyperbaric Oxygen Treatment for COVID-19: A Review.,"The recent coronavirus disease 2019 (COVID-19) pandemic produced high and excessive demands for hospitalizations and equipment with depletion of critical care resources. The results of these extreme therapeutic efforts have been sobering. Further, we are months away from a robust vaccination effort, and current therapies provide limited clinical relief. Therefore, several empirical oxygenation support initiatives have been initiated with intermittent hyperbaric oxygen (HBO) therapy to overcome the unrelenting and progressive hypoxemia during maximum ventilator support in intubated patients, despite high FiO2. Overall, few patients have been successfully treated in different locations across the globe. More recently, less severe patients at the edge of impending hypoxemia were exposed to HBO preventing intubation and obtaining the rapid resolution of symptoms. The few case descriptions indicate large variability in protocols and exposure frequency. This summary illustrates the biological mechanisms of action of increased O2 pressure, hoping to clarify more appropriate protocols and more useful application of HBO in COVID-19 treatment."
COVID-19 and thrombosis: From bench to bedside.,"Coronavirus disease of 2019 (COVID-19) is the respiratory viral infection caused by the coronavirus SARS-CoV2 (Severe Acute Respiratory Syndrome Coronavirus 2). Despite being a respiratory illness, COVID-19 is found to increase the risk of venous and arterial thromboembolic events. Indeed, the link between COVID-19 and thrombosis is attracting attention from the broad scientific community. In this review we will analyze the current available knowledge of the association between COVID-19 and thrombosis. We will highlight mechanisms at both molecular and cellular levels that may explain this association. In addition, the article will review the antithrombotic properties of agents currently utilized or being studied in COVID-19 management. Finally, we will discuss current professional association guidance on prevention and treatment of thromboembolism associated with COVID-19."
"Quantitative proteomics reveals a broad-spectrum antiviral property of ivermectin, benefiting for COVID-19 treatment.","Viruses such as human cytomegalovirus (HCMV), human papillomavirus (HPV), Epstein-Barr virus (EBV), human immunodeficiency virus (HIV), and coronavirus (severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]) represent a great burden to human health worldwide. FDA-approved anti-parasite drug ivermectin is also an antibacterial, antiviral, and anticancer agent, which offers more potentiality to improve global public health, and it can effectively inhibit the replication of SARS-CoV-2 in vitro. This study sought to identify ivermectin-related virus infection pathway alterations in human ovarian cancer cells. Stable isotope labeling by amino acids in cell culture (SILAC) quantitative proteomics was used to analyze human ovarian cancer cells TOV-21G treated with and without ivermectin (20 mumol/L) for 24 h, which identified 4447 ivermectin-related proteins in ovarian cancer cells. Pathway network analysis revealed four statistically significant antiviral pathways, including HCMV, HPV, EBV, and HIV1 infection pathways. Interestingly, compared with the reported 284 SARS-CoV-2/COVID-19-related genes from GencLip3, we identified 52 SARS-CoV-2/COVID-19-related protein alterations when treated with and without ivermectin. Protein-protein network (PPI) was constructed based on the interactions between 284 SARS-CoV-2/COVID-19-related genes and between 52 SARS-CoV-2/COVID-19-related proteins regulated by ivermectin. Molecular complex detection analysis of PPI network identified three hub modules, including cytokines and growth factor family, MAP kinase and G-protein family, and HLA class proteins. Gene Ontology analysis revealed 10 statistically significant cellular components, 13 molecular functions, and 11 biological processes. These findings demonstrate the broad-spectrum antiviral property of ivermectin benefiting for COVID-19 treatment in the context of predictive, preventive, and personalized medicine in virus-related diseases."
"COVID-19 Related Medical Mistrust, Health Impacts, and Potential Vaccine Hesitancy Among Black Americans Living With HIV.","BACKGROUND: Medical mistrust, a result of systemic racism, is prevalent among Black Americans and may play a role in COVID-19 inequities. In a convenience sample of HIV-positive Black Americans, we examined associations of COVID-19-related medical mistrust with COVID-19 vaccine and COVID-19 treatment hesitancy and negative impacts of COVID-19 on antiretroviral therapy (ART) adherence. METHODS: Participants were 101 HIV-positive Black Americans (age: M = 50.3 years; SD = 11.5; 86% cisgender men; 77% sexual minority) enrolled in a randomized controlled trial of a community-based ART adherence intervention in Los Angeles County, CA. From May to July 2020, participants completed telephone interviews on negative COVID-19 impacts, general COVID-19 mistrust (eg, about the government withholding information), COVID-19 vaccine and treatment hesitancy, and trust in COVID-19 information sources. Adherence was monitored electronically with the Medication Event Monitoring System. RESULTS: Nearly all participants (97%) endorsed at least one general COVID-19 mistrust belief, and more than half endorsed at least one COVID-19 vaccine or treatment hesitancy belief. Social service and health care providers were the most trusted sources. Greater COVID-19 mistrust was related to greater vaccine and treatment hesitancy [b (SE) = 0.85 (0.14), P < 0.0001 and b (SE) = 0.88 (0.14), P < 0.0001, respectively]. Participants experiencing more negative COVID-19 impacts showed lower ART adherence, assessed among a subset of 49 participants [b (SE) = -5.19 (2.08), P = 0.02]. DISCUSSION: To prevent widening health inequities, health care providers should engage with communities to tailor strategies to overcome mistrust and deliver evidence-based information, to encourage COVID-19 vaccine and treatment uptake."
Ozone therapy in COVID-19: A narrative review.,"The main objective of this narrative review is to describe the available evidence on the possible antiviral activity of ozone in patients with COVID-19 and its therapeutic applicability through hospital protocols. Amongst different possible therapies for SARS-CoV-2 pneumonia, ozone therapy seems to have an immunological role because of the modulation of cytokines and interferons, including the induction of gamma interferon. Some data suggest the possible role of ozone therapy in SARS, either as a monotherapy or, more realistically, as an adjunct to standard treatment regimens; therefore, there is increasing interest in the role of ozone therapy in COVID-19 treatment The PubMed and Scopus databases and the Italian Scientific Society of Oxygen Ozone Therapy website were used to identify articles focused on ozone therapy. The search was limited to articles published from January 2011 to July 2020. Of 280 articles found on ozone therapy, 13 were selected and narratively reviewed. Ozone exerts antiviral activity through the inhibition of viral replication and direct inactivation of viruses. Ozone is an antiviral drug enhancer and is not an alternative to antiviral drugs. Combined treatment with involving ozone and antivirals demonstrated a reduction in inflammation and lung damage. The routes of ozone administration are direct intravenous, major autohaemotherapy and extravascular blood oxygenation-ozonation. Systemic ozone therapy seems useful in controlling inflammation, stimulating immunity and as antiviral activity and providing protection from acute coronary syndromes and ischaemia reperfusion damage, thus suggesting a new methodology of immune therapy. Systemic ozone therapy in combination with antivirals in COVID-19-positive patients may be justified, helpful and synergic."
