Title,Abstract
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.,"BACKGROUND: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection and the resulting coronavirus disease 2019 (Covid-19) have afflicted tens of millions of people in a worldwide pandemic. Safe and effective vaccines are needed urgently. METHODS: In an ongoing multinational, placebo-controlled, observer-blinded, pivotal efficacy trial, we randomly assigned persons 16 years of age or older in a 1:1 ratio to receive two doses, 21 days apart, of either placebo or the BNT162b2 vaccine candidate (30 mug per dose). BNT162b2 is a lipid nanoparticle-formulated, nucleoside-modified RNA vaccine that encodes a prefusion stabilized, membrane-anchored SARS-CoV-2 full-length spike protein. The primary end points were efficacy of the vaccine against laboratory-confirmed Covid-19 and safety. RESULTS: A total of 43,548 participants underwent randomization, of whom 43,448 received injections: 21,720 with BNT162b2 and 21,728 with placebo. There were 8 cases of Covid-19 with onset at least 7 days after the second dose among participants assigned to receive BNT162b2 and 162 cases among those assigned to placebo; BNT162b2 was 95% effective in preventing Covid-19 (95% credible interval, 90.3 to 97.6). Similar vaccine efficacy (generally 90 to 100%) was observed across subgroups defined by age, sex, race, ethnicity, baseline body-mass index, and the presence of coexisting conditions. Among 10 cases of severe Covid-19 with onset after the first dose, 9 occurred in placebo recipients and 1 in a BNT162b2 recipient. The safety profile of BNT162b2 was characterized by short-term, mild-to-moderate pain at the injection site, fatigue, and headache. The incidence of serious adverse events was low and was similar in the vaccine and placebo groups. CONCLUSIONS: A two-dose regimen of BNT162b2 conferred 95% protection against Covid-19 in persons 16 years of age or older. Safety over a median of 2 months was similar to that of other viral vaccines. (Funded by BioNTech and Pfizer; ClinicalTrials.gov number, NCT04368728.)."
Understanding COVID-19 vaccine demand and hesitancy: A nationwide online survey in China.,"BACKGROUND: This study attempts to understand coronavirus disease 2019 (COVID-19) vaccine demand and hesitancy by assessing the public's vaccination intention and willingness-to-pay (WTP). Confidence in COVID-19 vaccines produced in China and preference for domestically-made or foreign-made vaccines was also investigated. METHODS: A nationwide cross-sectional, self-administered online survey was conducted on 1-19 May 2020. The health belief model (HBM) was used as a theoretical framework for understanding COVID-19 vaccination intent and WTP. RESULTS: A total of 3,541 complete responses were received. The majority reported a probably yes intent (54.6%), followed by a definite yes intent (28.7%). The perception that vaccination decreases the chances of getting COVID-19 under the perceived benefit construct (OR = 3.14, 95% CI 2.05-4.83) and not being concerned about the efficacy of new COVID-19 vaccines under the perceived barriers construct (OR = 1.65, 95% CI 1.31-2.09) were found to have the highest significant odds of a definite intention to take the COVID-19 vaccine. The median (interquartile range [IQR]) of WTP for COVID-19 vaccine was CNY yen200/US$28 (IQR CNY yen100-500/USD$14-72). The highest marginal WTP for the vaccine was influenced by socio-economic factors. The majority were confident (48.7%) and completely confident (46.1%) in domestically-made COVID-19 vaccine. 64.2% reported a preference for a domestically-made over foreign-made COVID-19 vaccine. CONCLUSIONS: The findings demonstrate the utility of HBM constructs in understanding COVID-19 vaccination intent and WTP. It is important to improve health promotion and reduce the barriers to COVID-19 vaccination."
A global survey of potential acceptance of a COVID-19 vaccine.,"Several coronavirus disease 2019 (COVID-19) vaccines are currently in human trials. In June 2020, we surveyed 13,426 people in 19 countries to determine potential acceptance rates and factors influencing acceptance of a COVID-19 vaccine. Of these, 71.5% of participants reported that they would be very or somewhat likely to take a COVID-19 vaccine, and 48.1% reported that they would accept their employer's recommendation to do so. Differences in acceptance rates ranged from almost 90% (in China) to less than 55% (in Russia). Respondents reporting higher levels of trust in information from government sources were more likely to accept a vaccine and take their employer's advice to do so."
COVID-19 vaccine development: a pediatric perspective.,"PURPOSE OF REVIEW: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel coronavirus that causes coronavirus disease 2019 (COVID-19), has caused substantial morbidity and mortality. Operation Warp Speed aims to accelerate the development of a safe and effective vaccine by early 2021. Multiple vaccine candidates with reassuring safety and efficacy profiles have advanced to phase 3 clinical trials in adults. The purpose of this review is to describe the burden of COVID-19 in children, to update pediatricians about adult COVID-19 vaccine clinical trials, to discuss the importance of COVID-19 vaccine trials in children and to instill confidence in the established vaccine development and licensure processes. RECENT FINDINGS: Children of all ages are at risk for SARS-CoV-2 infection and severe disease manifestations. Children are also susceptible to downstream effects of COVID-19, including social isolation and interruption in education. Developing a pediatric COVID-19 vaccine could prevent disease, mitigate downstream effects and enable children to re-engage in their world. SUMMARY: Children could benefit both directly and indirectly from vaccination. In light of the safety and immunogenicity results from recent adult COVID-19 vaccine clinical trials, children should have the opportunity to be included in clinical trials in parallel to ongoing adult phase 3 clinical trials in a manner that is careful, methodical and transparent."
COVID-19 Vaccine: Promoting Vaccine Acceptance.,
"The Advisory Committee on Immunization Practices' Interim Recommendation for Use of Moderna COVID-19 Vaccine - United States, December 2020.","On December 18, 2020, the Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) for the Moderna COVID-19 (mRNA-1273) vaccine (ModernaTX, Inc; Cambridge, Massachusetts), a lipid nanoparticle-encapsulated, nucleoside-modified mRNA vaccine encoding the stabilized prefusion spike glycoprotein of SARS-CoV-2, the virus that causes coronavirus disease 2019 (COVID-19) (1). This vaccine is the second COVID-19 vaccine authorized under an EUA for the prevention of COVID-19 in the United States (2). Vaccination with the Moderna COVID-19 vaccine consists of 2 doses (100 mug, 0.5 mL each) administered intramuscularly, 1 month (4 weeks) apart. On December 19, 2020, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation* for use of the Moderna COVID-19 vaccine in persons aged >/=18 years for the prevention of COVID-19. To guide its deliberations regarding the vaccine, ACIP employed the Evidence to Recommendation (EtR) Framework,(dagger) using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach.( section sign) Use of all COVID-19 vaccines authorized under an EUA, including the Moderna COVID-19 vaccine, should be implemented in conjunction with ACIP's interim recommendations for allocating initial supplies of COVID-19 vaccines (3). The ACIP recommendation for the use of the Moderna COVID-19 vaccine under EUA is interim and will be updated as additional information becomes available."
Coronavirus Disease (COVID-19): Current Status and Prospects for Drug and Vaccine Development.,"The Coronavirus disease 2019 (COVID-19) pandemic has spread to almost all nooks and corners of the world. There are numerous potential approaches to pharmacologically fight COVID-19: small-molecule drugs, interferon therapies, vaccines, oligonucleotides, peptides, and monoclonal antibodies. Medications are being developed to target the spike, membrane, nucleocapsid or envelope proteins. The spike protein is also a critical target for vaccine development. Immunoinformatic approaches are being used for the identification of B cell and cytotoxic T lymphocyte (CTL) epitopes in the SARS-CoV-2 spike protein. Different vaccine vectors are also being developed. Chemical and physical methods such as formaldehyde, UV light or beta-propiolactone are being deployed for the preparation of inactivated virus vaccine. Currently, there are many vaccines undergoing clinical trials. Even though mRNA and DNA vaccines are being designed and moved into clinical trials, these types of vaccines are yet to be approved by regulatory bodies for human use. This review focuses on the drugs and vaccines being developed against the COVID-19."
COVID-19 vaccine hesitancy among medical students.,"BACKGROUND: Medical students are among the group of frontline healthcare providers likely to be exposed to COVID-19 patients. It is important to achieve high COVID-19 vaccination coverage rates in this group as soon as a vaccine is available. As future healthcare providers, they will be entrusted with providing vaccine recommendations and counseling vaccine-hesitant patients. METHODS: This project used self-report to assess vaccine hesitancy and acceptance among medical students towards the novel COVID-19 vaccine. RESULTS: Nearly all participants had positive attitudes towards vaccines and agreed they would likely be exposed to COVID-19; however, only 53% indicated they would participate in a COVID-19 vaccine trial and 23% were unwilling to take a COVID-19 vaccine immediately upon FDA approval. Students willing to immediately take the vaccine were more likely to trust public health experts, have fewer concerns about side effects and agree with vaccine mandates (P < 0.05). Concern for serious side effects was independently predictive of lower odds of intent to participate in a COVID-19 vaccine trial (AOR = 0.41, P = 0.01). CONCLUSION: This is the first study to evaluate COVID-19 vaccine hesitancy among US medical students and highlights the need for an educational curriculum about the safety and effectiveness to promote uptake of the COVID-19 vaccine."
COVID-19 vaccine: where are we now and where should we go?,"INTRODUCTION: The severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has currently caused the pandemic with a high progressive speed and has been considered as the global public health crisis in 2020. This new member of the coronavirus family has created a potentially fatal disease, called coronavirus disease-2019 (COVID-19). Despite the continuous efforts of researchers to find effective vaccines and drugs for COVID-19, there is still no success in this matter. AREAS COVERED: Here, the literature regarding the COVID-19 vaccine candidates currently in the clinical trials, as well as main candidates in pre-clinical stages for development and research, were reviewed. These candidates have been developed under five different major platforms, including live-attenuated vaccine, mRNA-based vaccine, DNA vaccines, inactivated virus, and viral-vector-based vaccine. EXPERT OPINION: There are several limitations in the field of the rapid vaccine development against SARS-CoV-2, and other members of the coronavirus family such as SARS-CoV and MERS-CoV. The key challenges of designing an effective vaccine within a short time include finding the virulence ability of an emerging virus and potential antigen, choosing suitable experimental models and efficient route of administration, the immune-response study, designing the clinical trials, and determining the safety, as well as efficacy."
COVID-19 and Vaccine Hesitancy: A Challenge the United States Must Overcome.,"A significant portion of the U.S. population may experience vaccine hesitancy of a new COVID-19 vaccine, which poses dangers to both the individual and their community, since exposure to a contagious disease places the person at risk, and individuals are far more likely to spread the disease to others if they do not get vaccinated. Many individuals are doubtful, and without the healthcare community, speaking with one voice has led to distrust. Experience from the influenza vaccines have shown vaccine acceptance has not been optimal, and this new vaccine, even though it is not approved, is already showing layperson skepticism compounded by political influences."
