Title,Abstract
Hepatitis B Virus Cure: Targets and Future Therapies.,"Chronic hepatitis B virus (HBV) infection is a major global health problem. It can cause progressive liver fibrosis leading to cirrhosis with end-stage liver disease, and a markedly increased risk of hepatocellular carcinoma. In the last two decades, substantial progress has been made in the treatment of chronic hepatitis, B. However, HBV is often reactivated after stopping nucloes(t)ide analogues because antivirals alone do not directly target covalently closed circular DNA, which is the template for all viral RNAs. Therefore, although currently available antiviral therapies achieve suppression of HBV replication in the majority of patients, hepatitis B surface antigen (HBsAg) loss and seroconversion is rarely achieved despite long-term antiviral treatment (HBsAg loss of less than 10% in 5 years). Various clinical trials of agents that interrupt the HBV life cycle in hepatocytes have been conducted. Potential treatment strategies and new agents are emerging as HBV cure. A combination of current and new anti-HBV agents may increase the rate of HBsAg seroclearance; thus, optimized regimens must be validated. Here, we review the newly investigated therapeutic compounds and the results of preclinical and/or clinical trials."
Recent news in the treatment of hepatitis B virus-related cryogobulinemic vasculitis.,"Hepatitis B virus (HBV) is a hepatotropic virus that causes hepatitis, cirrhosis and hepatocellular carcinoma. Twenty percent of HBV patients may develop extra-hepatic manifestations, such as polyarthritis nodosa, glomerulonephritis, dermatitis, poly-arthralgia and arthritis, and aplastic anemia. The association of HBV and cryoglobulinemic vasculitis (CV) has been highlighted by several epidemiological investigations. CV can develop in 0.5-4% of HBV infected patients. It has been demonstrated that suppression of HBV replication by nucleot(s)ide analogues (NAs) effectively induces clinical response in most patients with mild to moderate CV, but low responses are seen in severe CV. Based on this evidence, NAs therapy represents the first line therapeutic option in subjects with mild or moderate HBV related CV. Peg-interferon-Alfa can be an alternative treatment for HBV related CV, but the few studies published so far have shown no encouraging results. In patients with severe vasculitis and/or skin ulcers, peripheral neuropathy and glomerulonephritis treatment with rituximab (RTX) and NAs should be considered as a first line treatment. The long-term administration of low-medium glucocorticoid doses has been widely used in few studies to control clinical symptoms, but it should be used as a second option, when RTX is ineffective or not tolerated and in association with NAs. This review focuses on novel treatments for HBV related CV."
Estimating the proportion of people with chronic hepatitis B virus infection eligible for hepatitis B antiviral treatment worldwide: a systematic review and meta-analysis.,"BACKGROUND: In 2016, of the estimated 257 million people living with chronic hepatitis B virus (HBV) infection worldwide, only a small proportion was diagnosed and treated. The insufficiency of information on the proportion of people infected with HBV who are eligible for treatment limits the interpretation of global treatment coverage. We aimed to estimate the proportion of people with chronic HBV infection who were eligible for antiviral treatment worldwide, based on the WHO 2015 guidelines. METHODS: In this systematic review and meta-analysis, we searched Medline, EMBASE, and the Cochrane databases from Jan 1, 2007, to Jan 31, 2018, for studies describing HBsAg-positive people in the population or health-care facilities. We extracted information from published studies using a standardised form to estimate the frequency of cirrhosis, abnormal alanine aminotransferase (ALT), HBV DNA exceeding 2000 IU/mL or 20 000 IU/mL, presence of HBeAg, and eligibility for treatment as per WHO and other guidelines as reported in the studies. We pooled proportions through meta-analysis with random effects. The study was registered with PROSPERO, CRD42020132345. FINDINGS: Of the 13 497 studies, 162 were eligible and included in our analysis. These studies included 145 789 participants. The pooled estimate of the proportion of cirrhosis was 9% (95% CI 8-10), ranging from 6% (4-8) in community settings to 10% (9-11) in clinic settings. Examining the proportion of participants who had characteristics used to determine eligibility in the WHO guidelines, 1750 (10.1%) of 17 394 had HBV DNA exceeding 20 000 IU/mL, and 20 425 (30.8%) of 66 235 had ALT above the upper limit of normal. 32 studies reported eligibility for treatment according to WHO or any other guidelines, with a pooled estimate of eligibility at 19% (95% CI 18-20), ranging from 12% (6-18) for studies in community settings to 25% (19-30) in clinic settings. INTERPRETATION: Many studies described people with HBV infection, but few reported information in a way that allowed assessment of eligibility for treatment. Although about one in ten of the 257 million people with HBV infection (26 million) might be in urgent need of treatment because of cirrhosis, a larger proportion (12-25%) is eligible for treatment in accordance with different guidelines. Future studies describing people with HBV infection should report on treatment eligibility, according to broadly agreed definitions. FUNDING: WHO and US Centers for Disease Control and Prevention."
Hepatitis B Virus: From Diagnosis to Treatment.,"Hepatitis B infection is still a global concern progressing as acute-chronic hepatitis, severe liver failure, and death. The infection is most widely transmitted from the infected mother to a child, with infected blood and body fluids. Pregnant women, adolescents, and all adults at high risk of chronic infection are recommended to be screened for hepatitis B infection. The initial analysis includes serological tests that allow differentiation of acute and chronic hepatitis. Molecular assays performed provide detection and quantification of viral DNA, genotyping, drug resistance, and precore/core mutation analysis to confirm infection and monitor disease progression in chronic hepatitis B patients. All patients with chronic hepatitis B should be treated with antiviral medications and regularly monitored for efficient treatment. The current treatment is based on nucleos(t)ide analogs and pegylated interferons that save lives by decreasing liver cancer death, liver transplant, slow or reverse the progression of liver disease as well as the virus infectivity."
miRNAs as Potential Biomarkers for Viral Hepatitis B and C.,"Around 257 million people are living with hepatitis B virus (HBV) chronic infection and 71 million with hepatitis C virus (HCV) chronic infection. Both HBV and HCV infections can lead to liver complications such as cirrhosis and hepatocellular carcinoma (HCC). To take care of these chronically infected patients, one strategy is to diagnose the early stage of fibrosis in order to treat them as soon as possible to decrease the risk of HCC development. microRNAs (or miRNAs) are small non-coding RNAs which regulate many cellular processes in metazoans. Their expressions were frequently modulated by up- or down-regulation during fibrosis progression. In the serum of patients with HBV chronic infection (CHB), miR-122 and miR-185 expressions are increased, while miR-29, -143, -21 and miR-223 expressions are decreased during fibrosis progression. In the serum of patients with HCV chronic infection (CHC), miR-143 and miR-223 expressions are increased, while miR-122 expression is decreased during fibrosis progression. This review aims to summarize current knowledge of principal miRNAs modulation involved in fibrosis progression during chronic hepatitis B/C infections. Furthermore, we also discuss the potential use of miRNAs as non-invasive biomarkers to diagnose fibrosis with the intention of prioritizing patients with advanced fibrosis for treatment and surveillance."
Characterization of Hepatitis B Precore/Core-Related Antigens.,"Current therapies rarely cure chronic hepatitis B virus (HBV) infection due to the persistence of the viral episome, the covalently closed circular DNA (cccDNA), in hepatocytes. The hepatitis B virus core-related antigen (HBcrAg), a mixture of the viral precore/core gene products, has emerged as one potential marker to monitor the levels and activities of intrahepatic cccDNA. In this study, a comprehensive characterization of precore/core gene products revealed that HBcrAg components included the classical hepatitis B virus core antigen (HBc) and e antigen (HBeAg) and, additionally, the precore-related antigen, PreC, retaining the N-terminal signal peptide. Both HBeAg and PreC antigens displayed heterogeneous proteolytic processing at their C termini resulting in multiple species, which varied with viral genotypes. HBeAg was the predominant form of HBcrAg in HBeAg-positive patients. Positive correlations were found between HBcrAg and PreC, between HBcrAg and HBeAg, and between PreC and HBeAg but not between HBcrAg and HBc. Serum HBeAg and PreC shared similar buoyant density and size distributions, and both displayed density and size heterogeneity. HBc, but not HBeAg or PreC antigen, was found as the main component of capsids in DNA-containing or empty virions. Neither HBeAg nor PreC protein was able to form capsids in cells or in vitro under physiological conditions. In conclusion, our study provides important new quantitative information on levels of each component of precore/core gene products as well as their biochemical and biophysical characteristics, implying that each component may have distinct functions and applications in reflecting intrahepatic viral activities.IMPORTANCE Chronic hepatitis B virus (HBV) infection afflicts approximately 257 million people, who are at high risk of progressing to chronic liver diseases, including fibrosis, cirrhosis, and hepatocellular carcinoma. Current therapies rarely achieve cure of HBV infection due to the persistence of the HBV episome, the covalently closed circular DNA (cccDNA), in the nuclei of infected hepatocytes. Peripheral markers of cccDNA levels and transcriptional activities are urgently required to guide antiviral therapy and drug development. Serum hepatitis B core-related antigen (HBcrAg) is one such emerging peripheral marker. We have characterized the components of HBcrAg in HBV-infected patients as well as in cell cultures. Our results provide important new quantitative information on levels of each HBcrAg component, as well as their biochemical and biophysical characteristics. Our findings suggest that each HBcrAg component may have distinct functions and applications in reflecting intrahepatic viral activities."
Viral Hepatitis in pregnancy.,"The global prevalence of viral hepatitis is very high and seems to be rising over the years. The infection can profoundly affect pregnant women causing significant maternal and perinatal morbidity and mortality with some strains much worse than others. Hepatitis A (HAV) and E (HEV) which are transmitted mainly through the faecal-oral route present as acute hepatitis during pregnancy and are responsible for most local epidemic outbreaks. HAV infection remains self-limiting during pregnancy, while HEV has a higher prevalence and causes significant morbidity. It is also associated with a very high maternal mortality rate (20 %) and requires special attention in endemic areas. HEV vaccines do exist, but the WHO has yet to approve them for general use. Hepatitis B is the most prevalent form and is part of the ante-natal screening program. The presence of HBeAg is associated with high viral loads and infectivity. Antiviral therapy, preferably tenofovir (TDF), is recommended for mothers with viral load >/= 200,000 IU/mL2), with the neonates receiving both active and passive immunisations. Hepatitis C and D are usually found as chronic infections in the pregnant and non-pregnant populations. Screening for hepatitis C during pregnancy and its subsequent management is still unsettled, but the introduction of direct-acting antiviral (DAA) drugs will change the picture if their safety is established in pregnancy. HDV is an incomplete virus linked to HBV and cannot establish an infection on its own. Controlling HBV is paramount to controlling HDV. HEV is quite prevalent and looked upon as hepatotropic. It seems to be quite prevalent in some blood donor populations and has a high co-infection rate with HCV. It has a high Mother-to-Child-Transmission (MTCT) but causes little or no illness in infected infants, and antenatal screening is not justified. This review summarises the prevalence, clinical picture, maternal, perinatal effects, and the management and prevention of hepatitis A, B, C, D, E and G viral infections during pregnancy."
Treatment of hepatitis B virus infection in children and adolescents.,"Hepatitis B virus (HBV) infection is one of the main causes of morbidity and mortality worldwide. Most children acquire the infection perinatally or during early childhood and develop a chronic hepatitis characterized by a high viral replication and a low-inflammation phase of infection, with normal or only slightly raised aminotransferases. Although a conservative approach in children is usually recommended, different therapies exist and different therapeutic approaches are possible. The main goals of antiviral treatment for children with chronic HBV infection are to suppress viral replication and to warn the disease progression to cirrhosis and hepatocellular carcinoma, although these complications are rare in children. Both United States Food and Drug Administration (US-FDA) and European Medicines Agency (EMA) have approved interferon alfa-2b for children aged 1 year and older, pegylated interferon alfa-2a and lamivudine for children aged 3 years and older, entecavir for use in children aged 2 years and older, and adefovir for use in those 12 years of age and older. Tenofovir disoproxil fumarate is approved by EMA for children aged 2 years and older and by US-FDA for treatment in children aged 12 years and older. Finally, EMA has approved the use of tenofovir alafenamide for treatment of children aged 12 years and older or for children weighing more than 35 kg independent of age. This narrative review will provide the framework for summarizing indications to antiviral therapy in the management of chronic HBV infection in children and adolescents."
Effect of combination treatment based on interferon and nucleos(t)ide analogues on functional cure of chronic hepatitis B: a systematic review and meta-analysis.,"BACKGROUND: Priority of antiviral treatment for patients with chronic hepatitis B (CHB) is to increase the probability of functional cure. We aimed to synthesize evidence regarding the efficacy of different combination strategies of antiviral treatment based on interferon (IFN) and nucleos(t)ide analogues (NAs) in adults with CHB. METHODS: PubMed, Web of Science and Embase databases were searched from inception to May 26, 2019. Three types of combination strategies were studied: initial combination (IFN or NAs monotherapy as control), add-on (I: IFN add-on NAs vs. NAs; II: NAs add-on IFN vs. IFN), switch-to (I: IFN switch-to NAs vs. IFN; II: NAs switch-to IFN vs. NAs). RESULTS: Compared to NAs monotherapy, initial combination strategy improved the probability of HBeAg loss (RR: 1.62, 95% CI 1.33-1.97) and HBsAg loss (RR: 15.59, 95% CI 3.22-75.49), while compared to IFN monotherapy, no higher rates in the loss of HBsAg or HBeAg for initial combination. Compared to NAs monotherapy, IFN add-on NAs strategy had a higher rate of HBsAg loss (RR: 4.52, 95% CI 1.95-10.47), while compared to IFN monotherapy, NAs add-on IFN had a similar outcome. Compared to NAs monotherapy, NAs switch-to IFN strategy improved HBsAg loss (RR: 12.15, 95% CI 3.99-37.01); while compared to IFN monotherapy, IFN switch-to NAs had no improved rate of HBsAg clearance but higher rates in undetectable HBV DNA, and HBeAg loss. CONCLUSION: IFN add-on NAs, or NAs switched to IFN could significantly improve the probability of HBsAg loss compared to NAs monotherapy."
Hepatitis B virus infection and the risk of cancer among the Chinese population.,"The relationship between hepatitis B virus (HBV) and nonhepatocellular cancers remains inconclusive. This large case-control study aimed to assess the associations between HBV infection status and multiple cancers. Cases (n = 50 392) and controls (n = 11 361) were consecutively recruited from 2008 to 2016 at the First Affiliated Hospital of Nanjing Medical University. Multivariable adjusted odds ratios (aORs) and 95% confidence intervals (95% CIs) were estimated using logistic regression by adjusting age and gender. A meta-analysis based on published studies was also performed to verify the associations. Of these, 12.1% of cases and 5.5% of controls were hepatitis B surface antigen (HBsAg) seropositive. We observed significant associations between HBsAg seropositivity and esophagus cancer (aOR [95% CI] = 1.32 [1.13-1.54]), stomach cancer (1.46 [1.30-1.65]), hepatocellular carcinoma (HCC; 39.11 [35.08-43.59]), intrahepatic and extrahepatic bile duct carcinoma (ICC and ECC; 3.83 [2.58-5.67] and 1.72 [1.28-2.31]), pancreatic cancer (PaC; 1.37 [1.13-1.65]), non-Hodgkin lymphoma (NHL; 1.88 [1.61-2.20]) and leukemia (11.48 [4.05-32.56]). Additionally, compared to participants with HBsAg-/anti-HBs-/anti-HBc-, participants with HBsAg-/anti-HBs-/anti-HBc+, indicating past HBV-infected, had an increased risk of esophagus cancer (aOR [95% CI] = 1.46 [1.24-1.73]), stomach cancer (1.20 [1.04-1.39]), HCC (4.80 [3.95-5.84]) and leukemia (15.62 [2.05-119.17]). Then the overall meta-analysis also verified that HBsAg seropositivity was significantly associated with stomach cancer (OR [95% CI] = 1.23 [1.14-1.33]), ICC (4.05 [2.78-5.90]), ECC (1.73 [1.30-2.30]), PaC (1.26 [1.09-1.46]), NHL (1.95 [1.55-2.44]) and leukemia (1.54 [1.26-1.88]). In conclusion, both our case-control study and meta-analysis confirmed the significant association of HBsAg seropositivity with stomach cancer, ICC, ECC, PaC, NHL and leukemia. Of note, our findings also suggested that the risk of stomach cancer elevated for people whoever exposed to HBV."
