Title,Abstract
Hepatitis B Vaccine,"The hepatitis B vaccine is a medication used in the prevention of hepatitis B infection, which can lead to chronic liver failure and hepatocellular carcinoma. It is in the vaccine class of drugs. This activity reviews the indications, action, and contraindications for the hepatitis B vaccine as a valuable agent in the prevention of hepatitis B infection. This activity will highlight the mechanism of action, adverse event profile, and other vital factors pertinent for members of the healthcare team in reducing the burden of hepatitis B on their patients and community."
[Hepatitis B vaccine and liver cancer].,"Hepatitis B Virus (HBV) chronic infection contributes to a high risk of hepatocellular cancer (HCC) development. HBV is a strong cancer inducer, due to natural history of infection, virological characteristics and viral DNA integrations events in host genome. Prolonged infection and high viral loads, particularly frequent in patients infected in childhood, are risk factors of HCC development for patients with HBV chronic infection. A HBV vaccine, based on immunization against the surface protein HBs, showed a strong efficacy to prevent chronic HBV infection. The development of universal neonatal vaccination programmes contributed to the decrease of HBV chronic infection incidence in children of high endemic areas. Although HBs antibodies levels diminished years after vaccination, HBV neonatal vaccination programmes led to a lower incidence of chronic HBV infection among young adults. The decrease of HBV chronic infection incidence was associated to a reduction of HCC incidence in children and young adults from areas with a high prevalence of HBV infection."
Heplisav-B: A Hepatitis B Vaccine With a Novel Adjuvant.,"OBJECTIVE: To review the immunogenicity and safety of a hepatitis B vaccine containing the cytosine phosphoguanosine (CpG) 1018 adjuvant (HepB-CpG). DATA SOURCES: Literature searches were performed using PubMed and Scopus with the search terms hepatitis B vaccine, HepB-CpG, CpG 1018, 1018-ISS, HBsAg-1018, HBV-ISS, and Heplisav. Other sources included the Centers for Disease Control, the Food and Drug Administration, the Advisory Committee on Immunization Practices (ACIP), and prescribing information. STUDY SELECTION AND DATA EXTRACTION: Search limits included randomized controlled trial in humans and published in English from January 2003 to August 2020. Studies using the final formulation and dosing schedule were reviewed. DATA SYNTHESIS: Studies demonstrated that 2 doses of HepB-CpG induced significantly higher seroprotective responses with a faster onset in adults, including those in hyporesponsive populations, compared with 3 doses of alum-adjuvanted Engerix-B. Although the safety profile was comparable to that of Engerix-B, one study observed higher rates of acute myocardial infarction, herpes zoster, and death with HepB-CpG. RELEVANCE TO PATIENT CARE AND CLINICAL PRACTICE: ACIP recommends use of HepB-CpG as an option to prevent hepatitis B virus infection in adults >/=18 years old. Higher immune responses after 2 doses make it a promising option, especially in those with risk factors for hyporesponsiveness or at risk for poor adherence to vaccine series completion. Additional data are needed regarding the vaccine's safety in the general population and the persistence of its antibody response. CONCLUSION: HepB-CpG has been shown to be as immunogenic as Engerix-B; however, long-term safety and persistence of immune memory has yet to be established."
Vaccine-induced protection against hepatitis B in pediatric solid organ transplant patients.,"BACKGROUND: Vaccination against hepatitis B virus (HBV) has led to a worldwide reduction in disease burden and mortality. Vaccine immunogenicity data in transplanted children are limited, and vaccine-induced protection may be reduced. We evaluated HBV vaccination coverage, seroprotection rates, and factors influencing vaccine immunity among pediatric solid organ transplant (SOT) patients. METHODS: We retrospectively identified patients </=21 years of age evaluated for SOT and/or transplanted at our center between January 1, 2015, and December 31, 2018. A detailed chart review was conducted using a standard questionnaire to gather information on demographic, clinical, and laboratory features of patients' HBV vaccination, and hepatitis B surface antibody (HBsAb) titers. RESULTS: A total of 381 patients undergoing evaluation and/or transplantation were included: 139 (36.5%) liver, 138 (36.2%) kidney, and 104 (27.3%) heart. Overall, HBsAb at evaluation was reactive in 216 (56.7%), indeterminate in 17 (4.5%), non-reactive in 138 (36.2%), and not available in 10 (2.6%). Of those that completed a primary HBV vaccine series (n = 304), HBsAb was reactive in 164 (53.9%), indeterminate in 13 (4.3%), non-reactive in 119 (39.1%), and not available in 8 (2.6%). For those up to date for age on HBV vaccinations with non-reactive/indeterminate titers at evaluation, revaccination and a follow-up HBsAb were available in 45 patients of which 33 (73.3%) seroconverted to a reactive HBsAb titer. CONCLUSION: Vaccine-induced protection against HBV infection among high-risk pediatric SOT recipients can be improved by serology-based intervention. Though the absence of HBsAb does not always indicate loss of protection, boosting or completing primary series is recommended."
Effects of hepatitis B vaccine boosters in different levels of epidemic areas on anti-HBs-negative children after primary vaccination.,"Introduction. The widespread of hepatitis B virus is a severe global public problem, and the infant hepatitis B vaccine has been proved effective. But the failure of the immune response was reported in studies, and boosters were recommended. There were few studies about the effect of hepatitis B vaccine boosters in different levels of the epidemic area.Hypothesis. Booster immunization is recommended because there may be a lack of immunization in infants vaccinated with the hepatitis B vaccine. In order to verify the effectiveness of booster immunization, this study hypothesized that it worked well in different levels of endemic areas.Aim. To evaluate the effects of hepatitis B vaccine boosters on children from the areas with different prevalence of hepatitis B whose hepatitis B surface antibody (anti-HBs) were negative (<10 mIU ml(-1)).Methodology. A total of 940 children were initially enrolled in screening; however, 421 were excluded. The participants were divided into three groups according to the different areas they come from: group I, low epidemic area; group II, middle epidemic area; and group III, high epidemic area. In total, 519 subjects were administered three doses of booster hepatitis B vaccine (0-1-6 months, 10 microg). The antibody titre changes were examined at four time points: 1 month after dose 1, 1 month, 1 year and 5 years after dose 3.Results. The protective seroconversion rates in three groups were 96.30, 97.16, 96.63% at 1 month after dose 1, and 100.00, 100.00, 100.00% at 1 month after dose 3, and 97.79, 100.00, 98.50% at 1 year after dose 3, and 90.77, 93.67, 93.59% at 5 years after dose 3 (P>0.05).Conclusions. This study demonstrates that three doses of booster vaccination have a longtime effect, no matter whether it is in low, middle or high prevalence areas in which subjects live."
"Hepatitis B vaccine coverage and risk factors for lack of vaccination in subjects with HBsAg negative liver cirrhosis in Italy: still, much work should be done.","BACKGROUND: in Italy, Hepatitis-B-vaccine is advised and provided free-of-charge for subjects with chronic liver disease (CLD), including liver cirrhosis. AIMS: to evaluate HB-vaccine-coverage and variables associated with lack of vaccination in cirrhotic patients with particular attention to cirrhosis' etiology. METHODS: cirrhotic patients of any etiology (excluding HBsAg+) referring to 8 tertiary-centers were prospectively enrolled for a-six-months-period in 2019. Subjects were asked if they received HB-vaccine previously. Multiple-logistic-regression-analysis was performed to identify independent predictors of lack of vaccination. RESULTS: 731 cases were recruited. Overall-vaccine-coverage was 16.3% (23.7% in those younger than 65y, 10.0% in those older than 64y; p<0.001). Lack of information was the most frequent reason (78.5% of cases) reported by the 608 unvaccinated subjects, without statistical difference by area-of-birth (77.3% in Italians, 80.0% in people-born-abroad). Age>64 y (OR: 4.27; CI 95%: 2.52-7.24), educational level<9 years (OR: 3.52; CI 95%: 2.10-5.90), residence in South/Sardinia (OR 2.52; CI 95%:1.45-4.39), birth-abroad (OR 5.09; CI 95%: 1.07-24-.17), and Child grade B/C(OR 2.68; CI 95%: 1.35-5.33) all resulted independent predictors of likelihood of lack of vaccination. CONCLUSIONS: Vaccination-rate in cirrhotic patients results very low. Vaccine-coverage implementation in these subjects, is warranted. Vaccine should be provided in early CLD, when immunization is most effective."
Effect of Bruton tyrosine kinase inhibitor on efficacy of adjuvanted recombinant hepatitis B and zoster vaccines.,"Vaccinations are effective in preventing infections; however, it is unknown if patients with chronic lymphocytic leukemia (CLL) who are treatment naive (TN) or receiving Bruton tyrosine kinase inhibitors (BTKi's) respond to novel adjuvanted vaccines. Understanding the effect of BTKi's on humoral immunity is timely because BTKi's are widely used and vaccination against coronavirus disease 2019 is urgently needed. In 2 open-label, single-arm clinical trials, we measured the effect of BTKi's on de novo immune response against recombinant hepatitis B vaccine (HepB-CpG) and recall response against recombinant zoster vaccine (RZV) in CLL patients who were TN or on BTKi. The primary end point was serologic response to HepB-CpG (anti-hepatitis B surface antibodies >/=10 mIU/mL) and RZV (>/=fourfold increase in anti-glycoprotein E). The response rate to HepB-CpG was lower in patients on BTKi (3.8%; 95% confidence interval [CI], 0.7-18.9) than patients who were TN (28.1%; 95% CI, 15.6-45.4; P = .017). In contrast, the response rate to RZV did not differ significantly between the BTKi (41.5%; 95% CI, 27.8-56.6) and TN cohorts (59.1%; 95% CI, 38.7-76.7; P = .2). BTKi's were associated with a decreased de novo immune response following HepB-CpG, whereas recall immune response following RZV was not significantly affected by BTKi therapy. These trials were registered at www.clinicaltrials.gov as #NCT03685708 (Hep-CpG) and #NCT03702231 (RZV)."
CpG-Adjuvanted Hepatitis B Vaccine (HEPLISAV-B(R)) Update.,"Introduction: HEPLISAV-B is a hepatitis B vaccine composed of rHBsAg mixed with a synthetic oligonucleotide containing CpG motifs that stimulate innate immunity through TLR9. This vaccine was recently approved by FDA in view of its superior efficacy.Areas covered: Published literature on HEPLISAV-B was critically reviewed. Four randomized controlled trials among 7,056 subjects receiving 2 doses of HEPLISAV-B and 3,214 subjects receiving 3 doses of Engerix-B showed superior seroprotection rate (SPR) (anti-HBs >/=10 mIU/mL) of 90-100%, compared with 71-90% in those receiving Engerix-B. Furthermore, the seroprotection rate was also significantly higher in HEPLISAV-B compared with Engerix-B recipients in persons with traditionally poor vaccine responses such as older adults, diabetics, and those with chronic kidney disease. The safety profiles among 9,871 subjects were similar between HEPLISAV-B and Engerix-B .Expert opinion: HEPLISAV-B, a CpG adjuvant mixed with HBsAg, is more efficacious and produced earlier seroprotection compared to existing vaccines, with a favorable safety profile. The shorter, two-dose regimen, earlier seroprotection, higher adherence, and a higher seroprotection rate, especially in populations with traditionally poor vaccine response, makes this an important therapeutic option in hepatitis B vaccination."
Vaccination against Hepatitis B: A Scoping Review.,"OBJECTIVE: Elimination of viral hepatitis by 2030 as one of the international Sustainable Development Goals puts the hepatitis B vaccination on the forefront. However, barriers to vaccination reported in various studies are of concern. This study explores the global barriers for effective uptake of Hepatitis-B vaccination. METHODS: A scoping review of studies reporting hepatitis B vaccination barriers was done using PMC data base and Google scholar search engine. About 803 journal articles and reports on hepatitis B barriers were retrieved but only 36 most relevant items during last 10 years were identified, pile sorted, grouped and analyze. RESULTS: Overall 74 barriers have been identified for effective uptake of hepatitis-B vaccines. Most studies focused on non-zero dose of hepatitis B vaccine, One-third of the barriers are related to system issues, one-fourth of the barriers were related to caregiver education or awareness, fear of side effect, migration etc., one-fifth barriers were related to service provider issues like poor out-reach, home visits, poor communication and/relation with the caregivers, failure to identify unimmunized children etc., and other barriers were social-cultural issues. The review reveals limited availability and accessibility to health-facility based immunization, lack of awareness among caregivers, poor communication by the healthcare workers and negative relationships with the beneficiaries, cost of vaccine in private sector, inconvenience time and place of vaccination etc. as the major barriers for hepatitis B vaccination. Barriers varied from country to country. CONCLUSION: Myriad barriers for reduced hepatitis-B vaccine uptake need to be addressed contextually as countries are at different stages of hepatitis-B vaccination implementation."
Two-Dose Hepatitis B Vaccine (Heplisav-B) Results in Better Seroconversion Than Three-Dose Vaccine (Engerix-B) in Chronic Liver Disease.,"BACKGROUND: The efficacy of the two-dose hepatitis B virus (HBV) vaccine (Heplisav-B((R))) in patients with chronic liver disease (CLD) is unknown. AIMS: To compare the immunogenicity achieved with Heplisav-B and the conventional three-dose vaccine (Engerix-B((R))) in patients with CLD, and to identify factors that predict seroconversion. METHODS: We retrospectively identified all adults who completed Heplisav-B or Engerix-B regimens from August 1, 2015, to January 31, 2019. Post-vaccination immunity was assessed by quantitative HBV surface antibody (HBsAb) measurement. RESULTS: We identified 166 patients (106 Engerix-B and 60 Heplisav-B) with chronic liver disease (mean age 59.0 +/- 11.3 years, 52% male, 34% cirrhosis, mean MELD score of those with cirrhosis 10.1 +/- 5.4) who had completed the vaccinations and had data available on post-vaccination HBsAb levels at least 2 months after completion of the vaccine regimen. Seroprotective HBsAb levels (> 10 mIU/ml) were achieved in 63% with Heplisav-B and in 45% with Engerix-B (p = 0.03). Univariable analysis showed that age (p = 0.01), insurance (p = 0.02), renal failure (p = 0.02), COPD (p = 0.05), and cirrhosis (p < 0.01) had a significant effect on achieving immunogenicity. On multivariable analysis, patients with cirrhosis (adjusted odds ratio [aOR]: 0.27, 95% CI 0.13-0.55), COPD (aOR: 0.06, 95% CI 0.01-0.56), or renal failure (aOR 0.36, 95% CI 0.14-0.93) had a lower likelihood of achieving immunity, and patients who received Heplisav-B((R)) had a 2.7-fold greater likelihood of achieving immunity than those who received Engerix-B((R)) (aOR: 2.74, 95% CI 1.31-5.71). CONCLUSION: The two-dose recombinant hepatitis B vaccine resulted in better seroconversion than the three-dose vaccine. Cirrhosis, COPD, and renal failure were associated with a lower likelihood of achieving immunogenicity."
