,processed,nonprocessed
0,coronavirus disease covid infectious disease caused coronavirus sarscov causes severe acute respiratory syndrome characteristic hyperinflammatory response vascular damage microangiopathy angiogenesis widespread thrombosis,"Coronavirus disease 2019 (COVID-19) is an infectious disease caused by coronavirus-2 (SARS-CoV-2) that causes a severe acute respiratory syndrome, a characteristic hyperinflammatory response, vascular damage, microangiopathy, angiogenesis and widespread thrombosis."
1,four stages covid identified first stage characterised upper respiratory tract infection second onset dyspnoea pneumonia third worsening clinical scenario dominated cytokine storm consequent hyperinflammatory state fourth death recovery,Four stages of COVID-19 have been identified: the first stage is characterised by upper respiratory tract infection; the second by the onset of dyspnoea and pneumonia; the third by a worsening clinical scenario dominated by a cytokine storm and the consequent hyperinflammatory state; and the fourth by death or recovery.
2,currently treatment act specifically sarscov infection,"Currently, no treatment can act specifically against the SARS-CoV-2 infection."
3,based pathological features different clinical phases covid particularly patients moderate severe covid classes drugs used antiviral agents inflammation inhibitors antirheumatic drugs low molecular weight heparins plasma hyperimmune immunoglobulins,"Based on the pathological features and different clinical phases of COVID-19, particularly in patients with moderate to severe COVID-19, the classes of drugs used are antiviral agents, inflammation inhibitors/antirheumatic drugs, low molecular weight heparins, plasma, and hyperimmune immunoglobulins."
4,emergency period covid outbreak clinical researchers using testing variety possible treatments,"During this emergency period of the COVID-19 outbreak, clinical researchers are using and testing a variety of possible treatments."
5,based premises review aims discuss updated pharmacological treatments effectively act sarscov infection support researchers clinicians relation current future developments curing covid patients,"Based on these premises, this review aims to discuss the most updated pharmacological treatments to effectively act against the SARS-CoV-2 infection and support researchers and clinicians in relation to any current and future developments in curing COVID-19 patients."
6,introduction date transmission coronavirus disease covid still uncontrollable fact numbers confirmed death cases still increasing,"INTRODUCTION: To date, the transmission of Coronavirus Disease-2019 (COVID-19) is still uncontrollable with the fact that the numbers of confirmed and death cases are still increasing."
7,st october confirmed cases confirmed deaths reported world health organization different countries areas territories,"Up to 1st October 2020, 33,842,281 confirmed cases and 1,010,634 confirmed deaths have been reported to the World Health Organization from 216 different countries, areas and territories."
8,despite urgent demand effective treatment strategies still specific antiviral treatment covid treatment guidelines covid vary countries,"Despite the urgent demand for effective treatment strategies, there is still no specific antiviral treatment for COVID-19 and the treatment guidelines for COVID-19 vary between countries."
9,area covered article summarized current knowledge covid pandemic worldwide,"AREA COVERED: In this article, we summarized the current knowledge on COVID-19 and the pandemic worldwide."
