,_key,_idf
0,abatacept,8
1,abbreviations,1
2,ability,8
3,able,3
4,abnormal,3
5,abroad,1
6,absence,6
7,absolute,2
8,abstracts,1
9,abundant,1
10,academia,1
11,academic,2
12,academy,2
13,accelerate,2
14,accelerated,1
15,accelerating,1
16,accept,6
17,acceptability,3
18,acceptable,1
19,acceptance,6
20,accepted,2
21,accepting,1
22,access,6
23,accessibility,1
24,accompanied,2
25,accomplish,1
26,accordance,1
27,according,12
28,account,3
29,accounts,1
30,accruing,1
31,accuracy,2
32,ace,7
33,aceexpressiondisordercaused,1
34,achieve,11
35,achieved,7
36,achievement,1
37,achievements,1
38,achieving,9
39,acid,5
40,acids,2
41,acip,9
42,acips,2
43,acquire,2
44,acquired,3
45,acquiring,1
46,acquisition,1
47,across,11
48,act,6
49,action,7
50,actions,1
51,activate,1
52,activation,4
53,active,4
54,activities,6
55,activitiesimportance,1
56,activity,10
57,acute,55
58,acutechronic,1
59,adaptive,3
60,added,2
61,addition,15
62,additional,11
63,additionally,4
64,addon,4
65,address,5
66,addressed,2
67,addresses,1
68,addressing,1
69,ade,6
70,adefovir,2
71,adenopathy,4
72,adenosine,1
73,adequate,5
74,adequately,1
75,adherence,9
76,adiposederived,1
77,adjunct,1
78,adjust,1
79,adjusted,7
80,adjusting,3
81,adjuvant,5
82,adjuvanted,3
83,administer,1
84,administered,15
85,administering,2
86,administration,35
87,administrationin,1
88,administrations,1
89,administrative,1
90,administrators,1
91,admission,4
92,admitted,2
93,adolescent,2
94,adolescents,5
95,adopted,1
96,adoptive,1
97,adult,11
98,adulthood,1
99,adults,28
100,advanced,10
101,advancements,2
102,advances,4
103,advantage,2
104,advantages,3
105,adverse,25
106,advice,1
107,advised,1
108,advisory,6
109,advocacy,1
110,advocate,1
111,ae,2
112,aes,4
113,affect,5
114,affected,10
115,affecting,2
116,affiliated,2
117,afflicted,1
118,afflicts,1
119,affordable,2
120,aforementioned,1
121,africa,9
122,african,4
123,afucosylated,3
124,age,48
125,aged,11
126,ageing,1
127,agematched,1
128,agency,1
129,agent,13
130,agents,21
131,ages,2
132,agespecific,1
133,agestructured,1
134,aggressive,1
135,agiho,1
136,agitation,1
137,ago,4
138,agree,1
139,agreed,4
140,ahbv,23
141,ahead,2
142,aid,1
143,aim,11
144,aimed,20
145,aiming,1
146,aims,16
147,air,1
148,airway,1
149,alafenamide,5
150,alanine,5
151,alappuzha,1
152,albumin,1
153,alcohol,1
154,alfaa,1
155,alfab,1
156,alike,1
157,alkaloid,1
158,allergic,5
159,allergies,1
160,allium,2
161,allocate,2
162,allocated,1
163,allocating,2
164,allocation,6
165,allogeneic,1
166,allohsct,2
167,allow,3
168,allowed,2
169,allowing,2
170,allows,2
171,almost,6
172,alone,7
173,along,5
174,alpha,5
175,alphaexpert,1
176,already,5
177,also,58
178,alt,2
179,alterations,2
180,alterative,1
181,altered,2
182,alternative,9
183,althea,1
184,although,17
185,alumadjuvanted,1
186,aluminum,1
187,alveolar,5
188,always,1
189,ambitious,1
190,ameliorate,1
191,america,1
192,american,3
193,americans,3
194,ami,8
195,amild,1
196,amino,1
197,aminotransferase,6
198,aminotransferases,1
199,aml,1
200,among,55
201,amongst,2
202,amount,2
203,amounted,1
204,amplifies,1
205,amplifying,1
206,anakinra,3
207,analog,2
208,analogs,1
209,analogues,7
210,analysed,1
211,analyses,7
212,analysis,38
213,analytical,1
214,analyze,8
215,analyzed,10
216,analyzing,2
217,anamnestic,1
218,anaphylaxis,7
219,ancient,1
220,andrographis,1
221,anemia,1
222,angeles,1
223,angiogenesis,1
224,angiotensin,2
225,angiotensinconverting,2
226,animal,2
227,animals,1
228,ankara,1
229,ann,1
230,announced,1
231,announcing,1
232,annual,1
233,annually,1
234,anonymously,1
235,another,2
236,answers,1
237,antagonist,1
238,antagonists,1
239,antenatal,2
