,terms,freq
0,_tf,24454
1,_ts,1739
2,_tw,4697
3,abatacept,9
4,abbreviations,1
5,ability,8
6,able,3
7,abnormal,3
8,abroad,1
9,absence,6
10,absolute,3
11,abstracts,1
12,abundant,1
13,academia,1
14,academic,2
15,academy,2
16,accelerate,2
17,accelerated,1
18,accelerating,1
19,accept,6
20,acceptability,3
21,acceptable,1
22,acceptance,7
23,accepted,2
24,accepting,1
25,access,6
26,accessibility,1
27,accompanied,2
28,accomplish,1
29,accordance,1
30,according,13
31,account,3
32,accounts,1
33,accruing,1
34,accuracy,2
35,ace,8
36,aceexpressiondisordercaused,1
37,achieve,11
38,achieved,7
39,achievement,1
40,achievements,1
41,achieving,10
42,acid,5
43,acids,2
44,acip,9
45,acips,2
46,acquire,2
47,acquired,3
48,acquiring,1
49,acquisition,1
50,across,11
51,act,6
52,action,7
53,actions,1
54,activate,1
55,activation,4
56,active,4
57,activities,6
58,activitiesimportance,1
59,activity,10
60,acute,60
61,acutechronic,1
62,adaptive,3
63,added,2
64,addition,15
65,additional,15
66,additionally,4
67,addon,7
68,address,5
69,addressed,2
70,addresses,1
71,addressing,1
72,ade,8
73,adefovir,2
74,adenopathy,5
75,adenosine,1
76,adequate,5
77,adequately,1
78,adherence,9
79,adiposederived,1
80,adjunct,1
81,adjust,1
82,adjusted,7
83,adjusting,3
84,adjuvant,5
85,adjuvanted,4
86,administer,1
87,administered,16
88,administering,2
89,administration,39
90,administrationin,1
91,administrations,1
92,administrative,1
93,administrators,1
94,admission,4
95,admitted,2
96,adolescent,2
97,adolescents,5
98,adopted,1
99,adoptive,1
100,adult,12
101,adulthood,1
102,adults,30
103,advanced,10
104,advancements,2
105,advances,4
106,advantage,2
107,advantages,3
108,adverse,26
109,advice,1
110,advised,1
111,advisory,6
112,advocacy,1
113,advocate,1
114,ae,2
115,aes,4
116,affect,5
117,affected,11
118,affecting,2
119,affiliated,2
120,afflicted,1
121,afflicts,1
122,affordable,2
123,aforementioned,1
124,africa,9
125,african,6
126,afucosylated,3
127,age,50
128,aged,15
129,ageing,1
130,agematched,1
131,agency,1
132,agent,14
133,agents,21
134,ages,2
135,agespecific,1
136,agestructured,1
137,aggressive,1
138,agiho,1
139,agitation,1
140,ago,4
141,agree,1
142,agreed,4
143,ahbv,42
144,ahead,2
145,aid,1
146,aim,12
147,aimed,20
148,aiming,1
149,aims,16
150,air,1
151,airway,1
152,alafenamide,5
153,alanine,5
154,alappuzha,1
155,albumin,1
156,alcohol,1
157,alfaa,1
158,alfab,1
159,alike,1
160,alkaloid,1
161,allergic,6
162,allergies,1
163,allium,2
164,allocate,2
165,allocated,1
166,allocating,2
167,allocation,6
168,allogeneic,1
169,allohsct,2
170,allow,3
171,allowed,2
172,allowing,2
173,allows,2
174,almost,7
175,alone,7
176,along,5
177,alpha,8
178,alphaexpert,1
179,already,5
180,also,58
181,alt,2
182,alterations,2
183,alterative,1
184,altered,2
185,alternative,9
186,althea,1
187,although,17
188,alumadjuvanted,1
189,aluminum,1
190,alveolar,5
191,always,1
192,ambitious,1
193,ameliorate,1
194,america,1
195,american,3
196,americans,3
197,ami,8
198,amild,1
199,amino,1
200,aminotransferase,6
201,aminotransferases,1
202,aml,1
203,among,58
204,amongst,2
205,amount,2
206,amounted,1
207,amplifies,1
208,amplifying,1
209,anakinra,3
210,analog,2
211,analogs,1
212,analogues,7
213,analysed,1
214,analyses,7
215,analysis,39
216,analytical,1
217,analyze,8
